algoritmo,caso,tamanho,repeticao,tempo_execucao,cpu_pico,comparacoes,trocas,heapificacoes,profundidade_recursao,particoes
heap_sort,pior,4,10,1.0600022505968807e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,11,9.200011845678093e-06,0.0,6,4,6.0,0,
heap_sort,pior,4,12,1.3499986380338669e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,13,1.4199991710484028e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,14,1.190003240481019e-05,0.0,6,4,6.0,0,
heap_sort,pior,4,15,1.390004763379693e-05,0.0,6,4,6.0,0,
heap_sort,pior,16,1,3.460003063082695e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,2,2.2599997464567423e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,3,3.2599957194179296e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,4,2.180004958063364e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,5,2.040003892034292e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,6,2.1799991372972727e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,7,1.8600025214254856e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,8,2.2099993657320734e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,9,4.730001091957092e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,10,2.1799991372972727e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,11,3.070000093430281e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,12,2.899998798966408e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,13,2.129998756572604e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,14,2.969999331980944e-05,0.0,72,42,50.0,0,
heap_sort,pior,16,15,3.290001768618822e-05,0.0,72,42,50.0,0,
heap_sort,pior,64,1,0.0001612000050954,0.0,525,288,320.0,0,
heap_sort,pior,64,2,0.0001081000082194,0.0,525,288,320.0,0,
heap_sort,pior,64,3,0.0001741999876685,0.0,525,288,320.0,0,
heap_sort,pior,64,4,0.0001547000138089,0.0,525,288,320.0,0,
heap_sort,pior,64,5,0.0001289000501856,0.0,525,288,320.0,0,
heap_sort,pior,64,6,0.0001692000078037,0.0,525,288,320.0,0,
heap_sort,pior,64,7,0.0001592999906279,0.0,525,288,320.0,0,
heap_sort,pior,64,8,0.0001051000435836,0.0,525,288,320.0,0,
heap_sort,pior,64,9,0.000151399988681,0.0,525,288,320.0,0,
heap_sort,pior,64,10,0.0001139999949373,0.0,525,288,320.0,0,
heap_sort,pior,64,11,0.0001025999663397,0.0,525,288,320.0,0,
heap_sort,pior,64,12,0.0001028999686241,0.0,525,288,320.0,0,
heap_sort,pior,64,13,0.0001044999808073,0.0,525,288,320.0,0,
heap_sort,pior,64,14,0.0001419999753125,0.0,525,288,320.0,0,
heap_sort,pior,64,15,0.0001455000019632,0.0,525,288,320.0,0,
heap_sort,pior,256,1,0.0005679999594576,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,2,0.0005971000064164,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,3,0.0010689999908208,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,4,0.0006192000000737,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,5,0.0008286000229418,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,6,0.0008206000202335,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,7,0.0006598000181838,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,8,0.0009130999678745,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,9,0.0005804999964311,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,10,0.0007875999435782,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,11,0.0008654000121168,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,12,0.0008909000316634,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,13,0.0008865999989211,0.0,3106,1642,1770.0,0,
heap_sort,pior,256,14,0.0008088999893516,0.0,3106,1642,1770.0,0,
